user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,arousal_start,arousal_end,hr_bpm_start,hr_bpm_end,model_pred_start,model_prob_start,model_pred_end,model_prob_end,emotion_label_start,emotion_prob_start,emotion_label_end,emotion_prob_end,timestamp_start,timestamp_end,frame_start,frame_end,sim_time_start,sim_time_end,details
participant_03,2,day,Town10HD,40.75794982910156,55.58161163330078,0.0015846252208575606,49.01459503173828,70.43718719482422,0.0016097640618681908,0.66,0.66,65,61,None,0.925,pick_floor,0.979,neutral,0.669,neutral,0.985,2026-02-16T10:58:34.606603,2026-02-16T10:58:37.891868,415983,416032,7960.423781748861,7962.138781756163,window_1
participant_03,2,day,Town10HD,94.35820770263672,112.39383697509766,0.0018709182040765882,81.90858459472656,128.6995086669922,0.0016952132573351264,0.66,0.66,71,64,None,0.922,pick_floor,0.996,neutral,0.313,fear,0.895,2026-02-16T10:58:52.899394,2026-02-16T10:58:56.284824,416251,416300,7969.803781788796,7971.518781796098,window_2
participant_03,2,day,Town10HD,45.82605743408203,132.14285278320312,0.0017629623180255294,19.259212493896484,131.8302764892578,0.0018284987891092896,0.66,0.66,61,72,None,0.937,pick_floor,0.987,neutral,0.614,neutral,0.694,2026-02-16T10:59:03.694345,2026-02-16T10:59:07.691405,416397,416452,7974.913781810552,7976.8387818187475,window_1
participant_03,2,day,Town10HD,-22.439552307128906,130.50784301757812,0.001507453853264451,-43.68602752685547,120.5177993774414,0.0019665146246552467,0.911,0.709,56,51,None,0.942,pick_floor,1.0,neutral,0.545,angry,0.991,2026-02-16T10:59:30.158991,2026-02-16T10:59:35.549813,416783,416860,7988.42378186807,7991.118781879544,window_2
participant_03,2,day,Town10HD,-44.54344940185547,94.3038330078125,0.0018191146664321423,-42.55704879760742,81.58639526367188,0.001810378977097571,0.52,0.466,50,51,None,0.907,None,0.919,neutral,0.655,sad,0.968,2026-02-16T10:59:40.777343,2026-02-16T10:59:43.583007,416930,416968,7993.568781889975,7994.8987818956375,window_1
participant_03,2,day,Town10HD,19.374929428100586,70.03624725341797,0.0018305587582290173,28.014434814453125,70.13932800292969,0.0014399337815120816,0.683,0.595,50,49,None,0.916,pick_floor,0.999,neutral,0.635,fear,1.0,2026-02-16T11:00:02.839590,2026-02-16T11:00:06.599651,417230,417282,8004.068781934679,8005.888781942427,window_2
participant_03,2,day,Town10HD,44.27572250366211,42.76986312866211,0.0018486403860151768,44.11984634399414,39.22936248779297,0.0013508223928511143,0.629,0.694,55,53,None,0.971,pick_floor,0.999,neutral,0.709,sad,0.627,2026-02-16T11:00:17.264443,2026-02-16T11:00:22.871481,417431,417513,8011.10378196463,8013.973781976849,window_1
participant_03,2,day,Town10HD,78.16642761230469,25.097091674804688,0.0019137191120535135,86.74198913574219,25.47245216369629,0.0014156341785565019,0.888,0.633,53,50,None,0.985,pick_floor,0.977,neutral,0.773,fear,0.656,2026-02-16T11:00:37.972548,2026-02-16T11:00:42.971279,417745,417825,8022.0937820114195,8024.8937820233405,window_2
participant_03,2,day,Town10HD,106.7397232055664,-16.527435302734375,0.0018337630899623036,105.11790466308594,-34.33258819580078,0.001748161274008453,0.628,0.736,56,59,None,0.944,None,0.979,neutral,0.925,neutral,0.918,2026-02-16T11:00:51.433301,2026-02-16T11:00:53.827999,417954,417992,8029.408782042563,8030.738782048225,window_1
participant_03,2,day,Town10HD,-8.267003059387207,-67.8418960571289,0.0017052077455446124,-35.4405403137207,-68.04904174804688,0.0017755127046257257,0.729,0.655,52,52,None,0.996,None,0.937,neutral,0.693,sad,0.962,2026-02-16T11:01:13.331950,2026-02-16T11:01:16.877731,418280,418336,8040.818782091141,8042.778782099485,window_2
