Trial,Phase,TargetQuadrant,ClickedQuadrant,Correct,ResponseTime_ms,ResponseTime_s,Timeout,TrialStart_UTC_ms,ResponseTimestamp_UTC_ms,subject_id,canonical_subject_id,session_number,session_id,condition,route,order_subgroup,source_file,TrialStart_dt,Response_dt,offline_activation_anchor_dt,offline_activation_annotation_type,offline_activation_reference_label,offline_activation_roll_window_seconds,baseline_first_session_lqm,hr_burden_above_baseline_plus_3bpm_session,hr_burden_above_baseline_plus_3bpm_session_100,hr_burden_above_baseline_plus_3bpm_roll20,hr_burden_above_baseline_plus_3bpm_roll20_100,hr_roll20_valid_sample_count,hr_roll20_coverage_ratio,drive_post10_center_line_crossing_sum,drive_post10_collision_sum,drive_post10_panic_braking_sum
20,2,3,3.0,True,686.0,0.69,False,1752069927718,1752069928404.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:27.718000+02:00,2025-07-09 16:05:28.404000+02:00,2025-07-09 16:05:27.718000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.14285714285714285,14.285714285714285,21.0,1.0,0.0,0.0,0.0
21,1,3,3.0,True,1929.0,1.93,False,1752069936747,1752069938676.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:36.747000+02:00,2025-07-09 16:05:38.676000+02:00,2025-07-09 16:05:36.747000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
21,2,1,1.0,True,733.0,0.73,False,1752069938678,1752069939411.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:38.678000+02:00,2025-07-09 16:05:39.411000+02:00,2025-07-09 16:05:38.678000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.047619047619047616,4.761904761904762,21.0,1.0,0.0,0.0,0.0
22,1,2,2.0,True,4459.0,4.46,False,1752069946746,1752069951205.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:46.746000+02:00,2025-07-09 16:05:51.205000+02:00,2025-07-09 16:05:46.746000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.42857142857142855,42.857142857142854,21.0,1.0,5.07,0.0,0.0
22,2,3,3.0,True,1030.0,1.03,False,1752069951206,1752069952236.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:51.206000+02:00,2025-07-09 16:05:52.236000+02:00,2025-07-09 16:05:51.206000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.6190476190476191,61.904761904761905,21.0,1.0,4.26,0.0,0.0
23,1,2,2.0,True,1079.0,1.08,False,1752069956760,1752069957839.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:56.760000+02:00,2025-07-09 16:05:57.839000+02:00,2025-07-09 16:05:56.760000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.6190476190476191,61.904761904761905,21.0,1.0,2.21,0.0,0.0
23,2,4,4.0,True,705.0,0.7,False,1752069957842,1752069958547.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:57.842000+02:00,2025-07-09 16:05:58.547000+02:00,2025-07-09 16:05:57.842000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.6190476190476191,61.904761904761905,21.0,1.0,3.21,0.0,0.0
24,1,4,4.0,True,1516.0,1.52,False,1752069966760,1752069968276.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:06:06.760000+02:00,2025-07-09 16:06:08.276000+02:00,2025-07-09 16:06:06.760000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.23809523809523808,23.809523809523807,21.0,1.0,6.15,0.0,0.0
24,2,4,4.0,True,1145.0,1.15,False,1752069968278,1752069969423.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:06:08.278000+02:00,2025-07-09 16:06:09.423000+02:00,2025-07-09 16:06:08.278000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.14285714285714285,14.285714285714285,21.0,1.0,4.28,0.0,0.0
25,1,2,2.0,True,1251.0,1.25,False,1752069976765,1752069978016.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:06:16.765000+02:00,2025-07-09 16:06:18.016000+02:00,2025-07-09 16:06:16.765000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.2857142857142857,28.57142857142857,21.0,1.0,7.59,0.0,0.0
